Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_Locate,Chrome 114.0.0.0,,,2023-06-17 12:05:48,2023-06-17 12:06:13,25.530s,PASSED
,,,,,,,
Test Cases/TC001,Chrome 114.0.0.0,,,2023-06-17 12:05:48,2023-06-17 12:06:13,25.225s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-17 12:05:49,2023-06-17 12:05:52,3.286s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 114.0.0.0,,,2023-06-17 12:05:52,2023-06-17 12:05:55,3.401s,PASSED
"setText(findTestObject(""Object Repository/Page_Home  Service NSW/input_Service NSW makes it easier to find g_bdb6ca""), ""Apply for a number plate"")",Chrome 114.0.0.0,,,2023-06-17 12:05:55,2023-06-17 12:05:57,1.285s,PASSED
"click(findTestObject(""Object Repository/Page_Home  Service NSW/button_apply for a number plate_button butt_2c4e78""))",Chrome 114.0.0.0,,,2023-06-17 12:05:57,2023-06-17 12:06:04,7.396s,PASSED
"click(findTestObject(""Object Repository/Page_Search  Service NSW/a_Find locations""))",Chrome 114.0.0.0,,,2023-06-17 12:06:04,2023-06-17 12:06:10,6.097s,PASSED
"setText(findTestObject(""Object Repository/Page_Find a Service NSW location  Service NSW/InputSearch""), """")",Chrome 114.0.0.0,,,2023-06-17 12:06:10,2023-06-17 12:06:12,1.546s,PASSED
"click(findTestObject(""Object Repository/Page_Find a Service NSW location  Service NSW/button_Sydney Olympic Park 2127_button butt_9c60bd""))",Chrome 114.0.0.0,,,2023-06-17 12:06:12,2023-06-17 12:06:12,0.669s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-17 12:06:12,2023-06-17 12:06:13,1.006s,PASSED
