Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_Locate,Chrome 114.0.0.0,,,2023-06-17 12:05:57,2023-06-17 12:06:30,32.386s,PASSED
,,,,,,,
Test Cases/TC001,Chrome 114.0.0.0,,,2023-06-17 12:05:58,2023-06-17 12:06:30,31.807s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-17 12:06:01,2023-06-17 12:06:09,8.661s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 114.0.0.0,,,2023-06-17 12:06:09,2023-06-17 12:06:14,4.849s,PASSED
"setText(findTestObject(""Object Repository/Page_Home  Service NSW/input_Service NSW makes it easier to find g_bdb6ca""), ""Apply for a number plate"")",Chrome 114.0.0.0,,,2023-06-17 12:06:14,2023-06-17 12:06:15,1.125s,PASSED
"click(findTestObject(""Object Repository/Page_Home  Service NSW/button_apply for a number plate_button butt_2c4e78""))",Chrome 114.0.0.0,,,2023-06-17 12:06:15,2023-06-17 12:06:20,4.307s,PASSED
"click(findTestObject(""Object Repository/Page_Search  Service NSW/a_Find locations""))",Chrome 114.0.0.0,,,2023-06-17 12:06:20,2023-06-17 12:06:27,7.041s,PASSED
"setText(findTestObject(""Object Repository/Page_Find a Service NSW location  Service NSW/InputSearch""), """")",Chrome 114.0.0.0,,,2023-06-17 12:06:27,2023-06-17 12:06:28,1.110s,PASSED
"click(findTestObject(""Object Repository/Page_Find a Service NSW location  Service NSW/button_Sydney Olympic Park 2127_button butt_9c60bd""))",Chrome 114.0.0.0,,,2023-06-17 12:06:28,2023-06-17 12:06:28,0.487s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-17 12:06:28,2023-06-17 12:06:30,1.384s,PASSED
